t=2026-01-10T16:52:15+0800 lvl=info msg="no configuration paths supplied"
t=2026-01-10T16:52:15+0800 lvl=info msg="using configuration at default config path" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-10T16:52:15+0800 lvl=info msg="open config file" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-10T16:52:15+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-10T16:52:15+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T16:52:16+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T16:52:16+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T16:52:16+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://3bd89ad7de66.ngrok-free.app
t=2026-01-10T17:05:14+0800 lvl=info msg="join connections" obj=join id=4d7697836c0b l=[::1]:8000 r=136.158.57.244:43813
t=2026-01-10T17:05:59+0800 lvl=info msg="join connections" obj=join id=21b499656932 l=[::1]:8000 r=136.158.57.244:45110
t=2026-01-10T17:06:05+0800 lvl=info msg="join connections" obj=join id=9e89aba04199 l=[::1]:8000 r=136.158.57.244:45305
t=2026-01-10T17:06:05+0800 lvl=info msg="join connections" obj=join id=dd5bf6f4dccf l=[::1]:8000 r=136.158.57.244:45305
t=2026-01-10T17:06:05+0800 lvl=info msg="join connections" obj=join id=fd9f7b014a73 l=[::1]:8000 r=136.158.57.244:45305
t=2026-01-10T17:06:06+0800 lvl=info msg="join connections" obj=join id=5e4e04a77281 l=[::1]:8000 r=136.158.57.244:45305
t=2026-01-10T17:06:10+0800 lvl=info msg="join connections" obj=join id=4de7c2924498 l=[::1]:8000 r=136.158.57.244:45468
t=2026-01-10T17:24:58+0800 lvl=info msg="join connections" obj=join id=932fe160e735 l=[::1]:8000 r=136.158.57.244:13132
t=2026-01-10T17:25:07+0800 lvl=info msg="join connections" obj=join id=12ebe8da83c9 l=[::1]:8000 r=136.158.57.244:13450
t=2026-01-10T17:25:07+0800 lvl=info msg="join connections" obj=join id=f43c957969dd l=[::1]:8000 r=136.158.57.244:13450
t=2026-01-10T17:25:22+0800 lvl=info msg="join connections" obj=join id=cd92824a1293 l=[::1]:8000 r=136.158.57.244:13921
t=2026-01-10T17:25:26+0800 lvl=info msg="join connections" obj=join id=619b88f91949 l=[::1]:8000 r=136.158.57.244:14036
t=2026-01-10T17:25:27+0800 lvl=info msg="join connections" obj=join id=71f15388d519 l=[::1]:8000 r=136.158.57.244:14036
t=2026-01-10T17:25:38+0800 lvl=info msg="join connections" obj=join id=f7ae64d819f4 l=[::1]:8000 r=136.158.57.244:14425
t=2026-01-10T17:25:38+0800 lvl=info msg="join connections" obj=join id=2ae75d8067a1 l=[::1]:8000 r=136.158.57.244:14425
t=2026-01-10T17:25:47+0800 lvl=info msg="join connections" obj=join id=3d7b9273e9c1 l=[::1]:8000 r=136.158.57.244:14663
t=2026-01-10T17:25:47+0800 lvl=info msg="join connections" obj=join id=b8157c4b149e l=[::1]:8000 r=136.158.57.244:14663
